objectid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
demo_001,"Administration Building, University of Idaho, No. 30",Pacific Photo Co.,1910,"Example locally hosted image item. Photographic postcard of the University of Idaho administration building in Moscow, Idaho.",universities; buildings; campuses; picture postcards,"Moscow, Idaho",46.725562,-117.009633,"PG 9, Postcard Collection, Special Collections and Archives, University of Idaho Library",pg_9_12_01bl,Image;StillImage,image/jpeg,eng,,http://rightsstatements.org/vocab/NoC-US/1.0/,image,/objects/demo_001.jpg,/objects/small/demo_001_sm.jpg,/objects/thumbs/demo_001_th.jpg,historic sepia photograph depicting a formal brick and stone building in the College Gothic style,
demo_002,"Spokane County Court House, Spokane, Washington",Spokane Post Card Co.,1912-09-08,"Example locally hosted PDF item. Postcard is of the Spokane County Courthouse in Spokane, Washington. Postmark 9/8/1912, Spokane, WA. Destination San Francisco, CA.",public buildings; county courthouses; trees; picture postcards,"Spokane, Washington",47.66432,-117.428031,"PG 107, Knowles Postcard Collection, Special Collections and Archives, University of Idaho Library",Postcard_032,Image;StillImage,application/pdf,eng,,http://rightsstatements.org/vocab/NoC-US/1.0/,pdf,/objects/demo_002.pdf,/objects/small/demo_002_sm.jpg,/objects/thumbs/demo_002_th.jpg,historic colorized postcard depicting a formal building with a large central tower in the French Renaissance revival style,
demo_003,Good News – Power (radio episode),Frank B. Robinson,1947,Example locally hosted audio item. Psychiana radio program episode begins with assurance that there is a Power that can get people what they desire. Robinson then discusses his early life failures and childhood seeking of some force that could turn his failures into success. He asserts the God-Power can turn our failures into success and bring us material and spiritual abundance.,Frank B. Robinson; Failure; Success; Material Abundance,"Moscow, Idaho",46.733001,-116.991779,"Psychiana Digital Collection, Digital Initiatives, University of Idaho Library, https://www.lib.uidaho.edu/digital/psychiana/",Good_News_08,Audio,audio/mpeg,eng,,http://rightsstatements.org/vocab/InC-EDU/1.0/,audio,/objects/demo_003.mp3,/objects/small/demo_003_sm.jpg,/objects/thumbs/demo_003_th.jpg,"portrait of a thoughtful man in a suit, with the text 'the amazing story of Psychiana' in green letters below","[slightly scratchy recording of a radio broadcast. A organ plays dramatic intro music, then continues quietly behind speaker voice]

[Dramatic male speaking voice]:

As an army terrible with batters sweeping before it the black shades of night, routing despair, comes the flaming truth of the God law.

Why do you suffer the indignities of life, when you can control life? Your fate is in your hands now, for at last, the way is open, if you will but take it. 
When Dr. Frank B Robinson first realized the dynamic implications of Psychiana, he was in debt, a humble drug clerk with no future, no hope. Now he possesses all that he wants of wealth, his mind is at peace, and he is accorded praise and renown as an outstanding and famous psychologist. The same forces that raised him out of the depths, to stand on a high plane among men, can be put to work for you."
sed_001,"Snake River Sediment Core Sample",Dr. Sarah Chen,2023,"Sediment core sample extracted from Snake River showing distinct layers of seasonal deposition. Dark layers indicate winter low-flow periods while lighter layers show spring flood deposits.",sediment; geology; rivers; cores; Snake River; seasonal deposition,"Snake River, Idaho",43.6150,-116.2023,"Environmental Sciences Department, University of Idaho",SRC_2023_15,PhysicalObject,image/jpeg,eng,,http://rightsstatements.org/vocab/InC-EDU/1.0/,image,/objects/sed_001.jpg,/objects/small/sed_001_sm.jpg,/objects/thumbs/sed_001_th.jpg,cylindrical sediment core showing alternating light and dark horizontal layers,
sed_002,"Palouse River Erosion Documentation",Northwest Environmental Watch,2019,"Aerial photograph showing severe bank erosion along the Palouse River following spring flooding. Demonstrates the ongoing impacts of agricultural runoff and climate change on regional river systems.",erosion; agriculture; flooding; Palouse River; environmental impact,"Palouse River, Washington",46.7322,-117.1825,"Northwest Environmental Watch Archive",PRER_2019_04,Image;StillImage,image/jpeg,eng,,http://rightsstatements.org/vocab/CC0/1.0/,image,/objects/sed_002.jpg,/objects/small/sed_002_sm.jpg,/objects/thumbs/sed_002_th.jpg,aerial view of river with exposed brown soil banks and muddy water,
sed_003,"Traditional Fishing Platform Construction",Nez Perce Tribe Cultural Resources,1890,"Historical photograph showing traditional fishing platform construction at Celilo Falls. These structures were built to withstand seasonal flooding and sediment loads that renewed fishing grounds annually.",Indigenous knowledge; traditional fishing; Celilo Falls; Columbia River; cultural practices,"Celilo Falls, Oregon",45.6483,-121.0831,"Nez Perce Tribal Archives",NPT_CFP_1890,Image;StillImage,image/jpeg,eng,,http://rightsstatements.org/vocab/InC-EDU/1.0/,image,/objects/sed_003.jpg,/objects/small/sed_003_sm.jpg,/objects/thumbs/sed_003_th.jpg,black and white photograph of wooden fishing platforms over rushing water,
sed_004,"Urban Stormwater Sediment Management Plan",City of Boise Engineering Department,2021,"Comprehensive plan for managing sediment loads in urban stormwater systems. Includes green infrastructure solutions and citizen monitoring programs for tracking sediment quality.",urban planning; stormwater; green infrastructure; sediment management; Boise,"Boise, Idaho",43.6150,-116.2023,"Boise City Engineering Archives",BCE_SWMP_2021,Document,application/pdf,eng,,http://rightsstatements.org/vocab/NoC-US/1.0/,pdf,/objects/sed_004.pdf,/objects/small/sed_004_sm.jpg,/objects/thumbs/sed_004_th.jpg,document cover showing urban waterway with green infrastructure illustrations,
sed_005,"Sediment Accumulation Time-lapse Study",Idaho State University Geology Dept,2020-2022,"Three-year time-lapse photography study documenting sediment accumulation behind a beaver dam on Mores Creek. Shows natural sediment trapping and ecosystem restoration.",beaver dams; ecosystem restoration; sediment trapping; time-lapse; natural processes,"Mores Creek, Idaho",43.8041,-115.9742,"ISU Geology Department Research Archive",ISU_GEO_TL_2022,Video,video/mp4,eng,,http://rightsstatements.org/vocab/InC-EDU/1.0/,video,/objects/sed_005.mp4,/objects/small/sed_005_sm.jpg,/objects/thumbs/sed_005_th.jpg,series of photographs showing progressive sediment buildup behind a natural dam,
sed_006,"Community Sediment Monitoring Workshop",Salmon River Restoration Council,2023,"Training materials from community workshop teaching volunteers to monitor sediment loads and water quality. Part of ongoing citizen science program for watershed health.",citizen science; community engagement; monitoring; education; watershed health,"Salmon River, Idaho",45.2987,-114.3324,"Salmon River Restoration Council",SRRC_WS_2023,Document,application/pdf,eng,,http://rightsstatements.org/vocab/CC0/1.0/,pdf,/objects/sed_006.pdf,/objects/small/sed_006_sm.jpg,/objects/thumbs/sed_006_th.jpg,workshop materials showing water testing equipment and data sheets,
demo_004,"University of Idaho vs. University of Southern California (Football), 10/30/1925",Vandal Athletics,1925-10-30,"Example YouTube video item. Idaho Football vs. University of Southern California 10/30/1925 at Neale Stadium in Moscow, ID. Score: 7 - 51 (L).",American Football,"Moscow, Idaho",46.726113,-117.015671,"Vandal Video Collection, Digital Initiatives, University of Idaho Library, https://www.lib.uidaho.edu/digital/vandalvideo/","MG 23, Item 29",Image;MovingImage,video/mp4,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,video,https://youtu.be/CVXQ3X6Q8oU,https://img.youtube.com/vi/CVXQ3X6Q8oU/hqdefault.jpg,https://img.youtube.com/vi/CVXQ3X6Q8oU/mqdefault.jpg,grainy image from historic film depicting fans heading to football game,
